Author(s),Title,Year,Subject
As?r Shahrist?n?; As?r Shahrist?n? (Authors); Ghul?m?usayn Shar?f? Vild?n?; Ghul?m?usayn Shar?f? Vild?n? (Editors),D?w?n-i ghazaliy?t-i As?r-i Shahrist?n?,2005,Middle Eastern history
Rash?d al-D?n Hamad?n?; Rash?d al-D?n Hamad?n? (Authors); Mu?ammad R?shan; Mu?ammad R?shan (Editors),J?mi? al-taw?r?kh,2005,Middle Eastern history
Rash?d al-D?n Hamad?n?; Rash?d al-D?n Hamad?n? (Authors); R?shan Mu?ammad; R?shan Mu?ammad (Editors),J?mi? al-taw?r?kh,2005,Middle Eastern history
Rash?d al-D?n Hamad?n? (Author); Mu?ammad R?shan (Volume Editor),J?mi? al-taw?r?kh,2007,Middle Eastern history
Rash?d al-D?n Hamad?n? (Author); Mu?ammad R?shan (Volume Editor),J?mi? al-taw?r?kh,2007,Middle Eastern history
Rash?d al-D?n Hamad?n? (Author); Mu?ammad R?shan (Volume Editor),J?mi? al-taw?r?kh,2007,Middle Eastern history
Rash?d al-D?n Hamad?n? (Author); Mu?ammad R?shan (Volume Editor),J?mi? al-taw?r?kh,2013,Middle Eastern history
Rash?d al-D?n Hamad?n? (Author); Mu?ammad R?shan; Mu??af? M?sav? (Editors),J?mi? al-taw?r?kh,2016,Middle Eastern history
Rash?d al-D?n Hamad?n? (Author); Mu?ammad R?shan; Mu??af? M?sav? (Editors),J?mi? al-taw?r?kh,2016,Middle Eastern history
William A. McGrath (Volume Editor),Knowledge and Context in Tibetan Medicine,2019,History of medicine
Tuomas Martikainen; José Mapril; Adil Hussain Khan (Editors),Muslims at the Margins of Europe,2019,Islamic studies
?Abd al-?usayn Kh?n Lis?n al-Sal?anah Sipihr (Author); ?Abd al-?usayn Nav?y? (Volume Editor),Mir??t al-waq?yi?-i Mu?affar?. Volume 1,2007,Middle Eastern history
Anonymous (Author); Mu?ammad Hasan M?r-?usayn?; Mu?ammad Ri?? Ab??? Mihr?z?; ?raj Afsh?r (Editors),T?r?kh-i Har?t,2008,Middle Eastern history
M?r Mu?ammad Ri?? Mu?min-i Kh?t?n?b?d? (Author); Maryam ?m?n? Kh?shkh? (Volume Editor),Khaz??in al-anw?r wa-ma??din al-akhb?r,2007,Middle Eastern history
Shams al-D?n Kawsaj (Author); Akbar Na?v? (Volume Editor),Burz?-n?ma,2008,Middle Eastern history
Taq? al-D?n Aw?ad? (Author); ?mina Fakhr-A?mad; ?ab??-All?h ???ibk?r? (Editors),"?Araf?t al-??shiq?n wa-?ara??t al-??rif?n. Volume 1, ??–Alif",2010,Middle Eastern history
Taq? al-D?n Aw?ad? (Author); ?ab??-All?h ???ibk?r?; ?mina Fakhr-A?mad (Editors),"?Araf?t al-??shiq?n wa-?ara??t al-??rif?n. Volume 6, Q?f–M?m",2010,Middle Eastern history
H?n? Nu?m?n Far??t (Author); Ghul?m-Ri?? Jamsh?d-Nizh?d Avval (Editor / Translator),And?shah?-yi falsaf? u kal?mi-yi Khw?jah Na??r al-D?n ??s?,2011,Middle Eastern history
Na??r al-D?n ??s? (Author); Sayyid Mu?ammad ?Im?d? ??i?r? (Volume Editor),?all mushkil?t Kit?b al-ish?r?t wal-tanb?h?t,2011,Middle Eastern history
Fakhr al-D?n R?z? (Author); Mu?ammad Ibr?h?m ??kir (Volume Editor),?if? al-badan,2011,Middle Eastern history
??rif N?sh?h?,Fihrist-i nushkhah?-yi kha??i-yi F?rsi-yi Arsh?w-i Milli-yi P?kist?n Isl?m?b?d,2012,Middle Eastern history
Anonymous (Author); ?Al? ?afar? ?q Qal?a; ?raj Afsh?r (Editors),Nuskha-shin?kht,2011,Middle Eastern history
Abu ?l-?asan Munj?k Tirmidh? (Author); I?s?n Shav?rib? Muqaddam (Volume Editor),D?w?n-i Munj?k Tirmidh?,2012,Middle Eastern history
Peter Mayo,Liberating Praxis,2008,Education
Paula Allman,Critical Education Against Global Capitalism,2010,Education
Jennifer S. Thom,Re-Rooting the Learning Space,2012,Education
Jal?l al-D?n R?m? (Author); ?asan L?h?t? (Volume Editor),Mathnawi-yi ma?naw?. Volume 2,2014,Middle Eastern history
Michael R. McVaugh; Michael R. McVaugh; Gerrit Bos; Gerrit Bos; Joseph Shatzmiller; Joseph Shatzmiller,The Regimen sanitatis of “Avenzoar”,2019,Judaism: life & practice
Na??r al-D?n ??s? (Author); Jam?l Rajib; ?asan Am?n? (Editors),Al-Tadhkira f? ?ilm al-hay?a,2015,Middle Eastern history
Andrew W. Pitts; Andrew W. Pitts,"History, Biography, and the Genre of Luke-Acts",2019,New Testaments
Andrew W. Pitts; Andrew W. Pitts,"History, Biography, and the Genre of Luke-Acts",2019,New Testaments
Sandra Leuenberger-Wenger; Sandra Leuenberger-Wenger,Das Konzil von Chalcedon und die Kirche,2019,Christianity
?Al? b. al-?usayn al-Sajj?d (Author); Mas??d Q?sim? (Volume Editor),?a??fa-yi Sajj?diyya b? tarjuma?? kuhan bih F?rs?,2016,Middle Eastern history
William Gross; Orly Tzion; Falk Wiesemann (Editors),Catalog of Catalogs: A Bibliography of Temporary Exhibition Catalogs Since 1876 that Contain Items of Judaica,2019,Judaism
M?r Taq? al-D?n K?sh?n? (Author); Ruq?ya B?yr?m ?aq?q? (Volume Editor),Khul??at al-ash??r wa-zubdat al-afk?r. Volume 6.7,2016,Middle Eastern history
Barbara A. Kaminska,Pieter Bruegel the Elder,2019,History
Beata Mo?ejko,Peter von Danzig,2020,History
Patricia Vilches (Volume Editor),Negotiating Space in Latin America,2020,Cultural studies
Michael Michelo DelMonte; Maeve Halpin,Evolution and Consciousness,2019,Psychological theory & schools of thought
Rutger Allan; Rutger Allan,The Middle Voice in Ancient Greek,2003,"Literary studies: classical, early & medieval"
John Asimakopoulos; John Asimakopoulos,The Political Economy of the Spectacle and Postmodern Caste,2020,Social & political philosophy
Dustin J. Byrd; Dustin J. Byrd; Seyed Javad Miri; Seyed Javad Miri (Volume Editors),Frantz Fanon and Emancipatory Social Theory,2020,Social theory
Adina Camelia Bleotu,Towards a Theory of Denominals,2019,"Grammar, syntax"
Gang Ding (Volume Editor),"Selected Essays on China’s Education: Research and Review, Volume 4",2019,Education
Lorne R. Zelyck,The Egerton Gospel (Egerton Papyrus 2 + Papyrus Köln VI 255),2019,Biblical studies & exegesis
Jonathan Trotter,The Jerusalem Temple in Diaspora: Jewish Practice and Thought during the Second Temple Period,2019,Judaism
Odile Ammann,Domestic Courts and the Interpretation of International Law,2020,International law
Tsvetelin Stepanov,Waiting for the End of the World,2020,History
Cédric Giraud; Cédric Giraud (Editors),A Companion to Twelfth-Century Schools,2020,History of education
Marianne P. Ritsema van Eck,The Holy Land in Observant Franciscan Texts (c. 1480–1650),2019,History
Carolin Kosuch; Carolin Kosuch (Volume Editors),Anarchism and the Avant-Garde,2020,Literature: history & criticism
Petra Maurer; Donatella Rossi; Rolf Scheuermann (Volume Editors),Glimpses of Tibetan Divination,2019,Asian history
John J. Collins; John J. Collins; Ananda Geyser-Fouché; Ananda Geyser-Fouché (Volume Editors),"Scribal Practice, Text and Canon in the Dead Sea Scrolls",2019,Christianity
Donald Bruce Redford; Donald Bruce Redford; Susan Redford; Susan Redford,Excavations at Mendes,2020,Egyptian archaeology / Egyptology
Thomas E. McAuley,The Poetry Contest in Six Hundred Rounds (2 vols),2020,Poetry anthologies (various poets)
Aafke M.I. van Oppenraay; Aafke M.I. van Oppenraay (Editors / Translators),"Aristotle De Animalibus. Michael Scot's Arabic-Latin Translation, Volume 1a: Books I-III: History of Animals",2020,"Western philosophy: Ancient, to c 500"
Laurel Richardson,Lone Twin,2019,Sociology & anthropology
Brigitte Weltman-Aron; Ourida Mostefai; Peter Westmoreland (Volume Editors),"Silence, Implicite et Non-Dit chez Rousseau / Silence, the Implicit and the Unspoken in Rousseau",2020,Literature: history & criticism
Dawn L. Rothe; Dawn L. Rothe; Victoria E. Collins; Victoria E. Collins (Volume Editors),Explorations in Critical Criminology in Honor of William J. Chambliss,2019,Crime & criminology
Sandra Mantu; Paul Minderhoud; Elspeth Guild (Editors),EU Citizenship and Free Movement Rights,2020,International human rights law
James Nathan Ford; Matthew Morgenstern,Aramaic Incantation Bowls in Museum Collections,2020,Judaism: mysticism
José Casanova,Global Religious and Secular Dynamics,2019,Religion & politics
Myron H. Nordquist; John Norton Moore; Ronán Long (Editors),Cooperation and Engagement in the Asia-Pacific Region,2020,International law
Donald W. Parry,Exploring the Isaiah Scrolls and Their Textual Variants,2019,Old Testaments
Joseph Drexler-Dreis,Decolonial Theology in the North Atlantic World,2020,Christian theology
Ryan R. Gladwin,Streams of Latin American Protestant Theology,2020,Christianity
Cristián H. Ricci,New Voices of Muslim North-African Migrants in Europe,2020,Literary studies: post-colonial literature
Kari Smith; Marit Ulvik; Ingrid Helleve,Lessons Learned from Novice Teachers,2019,Teaching skills & techniques
Henk de Roest,Collaborative Practical Theology,2020,Christian life & practice
Manuel Lomas,"Governing the Galleys: Jurisdiction, Justice, and Trade in the Squadrons of the Hispanic Monarchy (Sixteenth-Seventeenth Centuries)",2020,Maritime history
Fabio Vicini; Fabio Vicini,Reading Islam,2020,Sociology & anthropology
Justyna Nedza,Takf?r im militanten Sala?smus,2020,Islamic studies
Dan Rickett,Separating Abram and Lot,2020,Biblical studies & exegesis
Michael Van Dussen; Michael Van Dussen; Pavel Soukup; Pavel Soukup (Editors),A Companion to the Hussites,2020,Church history
Brandy L. Simula; J.E. Sumerau; Andrea Miller (Editors),Expanding the Rainbow,2019,Social issues & processes
Mads L. Jensen,A Humanist in Reformation Politics,2020,Early modern history: c 1450/1500 to c 1700
Luuk de Ligt; Luuk de Ligt; John Bintliff; John Bintliff (Volume Editors),"Regional Urban Systems in the Roman World, 150 BCE - 250 CE",2020,Classical history / classical civilisation
Bruno Currie; Bruno Currie; Ian Rutherford; Ian Rutherford (Volume Editors),"The Reception of Greek Lyric Poetry in the Ancient World: Transmission, Canonization and Paratext",2020,Classical texts
Stavros Lazaris; Stavros Lazaris (Volume Editors),A Companion to Byzantine Science,2020,History: specific events & topics
Harry Vredeveld,The Poetic Works of Helius Eobanus Hessus,2020,Literature: history & criticism
Paul Mattick,Social Knowledge,2020,Philosophy of science
Mary E. Buck,The Amorite Dynasty of Ugarit,2020,Middle & Near Eastern archaeology
Charlotte Hille,"Clans and Democratization: Chechnya, Albania, Afghanistan and Iraq",2020,Social & cultural anthropology
Carlos Eduardo Martins; Carlos Eduardo Martins,"Dependency, Neoliberalism and Globalization in Latin America",2020,Sociology
Elizabeth Janson,The Pinocchio Effect,2020,Education
Alan Richard Sweeten,China's Old Churches,2020,Asian history
Pierre-Étienne Will,Handbooks and Anthologies for Officials in Imperial China (2 vols),2020,Asian history
Rachel L. Coleman; Rachel L. Coleman,The Lukan Lens on Wealth and Possessions,2020,New Testaments
Stefania Gialdroni; Albrecht Cordes; Serge Dauchy; Dave De ruysscher; Heikki Pihlajamäki (Volume Editors),"Migrating Words, Migrating Merchants, Migrating Law",2020,Maritime history
Mame-Fatou Niang,Identités françaises,2020,Literature: history & criticism
Allison T. Butler,Educating Media Literacy,2020,Education
Jan Visser; Muriel Visser (Editors),Seeking Understanding,2020,Philosophy & theory of education
Mercedes García-Arenal; Mercedes García-Arenal; Yonatan Glazer-Eytan; Yonatan Glazer-Eytan (Editors),"Forced Conversion in Christianity, Judaism and Islam",2020,"Religious intolerance, persecution & conflict"
Russell Williams,"Pathos, poetry and politics in Michel Houellebecq's fiction",2020,"Literary studies: fiction, novelists & prose writers"
Doris Moreno (Volume Editor),The Complexity of Hispanic Religious Life in the 16th–18th Centuries,2020,History of religion
Ray Jureidini; Said Fares Hassan (Volume Editors),Migration and Islamic Ethics,2020,Middle Eastern history
Britta Konz; Bernhard Ortmann; Christian Wetz (Volume Editors),"Postkolonialismus, Theologie und die Konstruktion des Anderen / Postcolonialism, Theology and the Construction of the Other",2020,Religion: general
John Z Wee,Knowledge and Rhetoric in Medical Commentary,2019,History
Amin Asfari (Volume Editor),"Civility, Nonviolent Resistance, and the New Struggle for Social Justice",2020,Social & political philosophy
Johannes van Oort; Johannes van Oort,Mani and Augustine,2020,Christianity
Alvaro Bianchi,Gramsci’s Laboratory,2020,Marxism & Communism
Michael Florkin (Volume Editor),Clio Medica. Acta Academiae Internationalis Historiae Medicinae. Vol. 1,1965,History of medicine
A.M. Luyendijk-Elshout (Volume Editor),Clio Medica. Acta Academiae Internationalis Historiae Medicinae. Vol. 20,1986,History of medicine
Dorothy Porter; Roy Porter (Volume Editors),"Doctors, Politics and Society: Historical Essays",1993,History of medicine
Andrew Wear; Johanna Geyer-Kordesch; Roger French (Volume Editors),Doctors and Ethics,1993,History of medicine
H.F.J. Horstmanshoff; Philip J. van der Eijk; P.H. Schrijvers (Volume Editors),"Ancient Medicine in Its Socio-Cultural Context, Volume 2",1995,History of medicine
Vivian Nutton; Roy Porter (Volume Editors),The History of Medical Education in Britain,1995,History of medicine
Claude Debru (Volume Editor),Essays in the History of the Physiological Sciences,1995,History of medicine
Lara V. Marks,Metropolitan Maternity,1996,History of medicine
Peter Fleming,A Short History of Cardiology,1997,History of medicine
Fabio Luis Barbosa dos Santos; Fabio Luis Barbosa dos Santos,Power and Impotence,2020,Politics & government
M. Sakthivel,Broadcasters’ Rights in the Digital Era,2020,International law
Laura Delbrugge,"A Scholarly Edition of the Gamaliel (Valencia: Juan Jofre, 1525)",2020,History
Eric McGeer; Eric McGeer; John Nesbitt; John Nesbitt,Byzantium in the Time of Troubles,2020,European history
Paul Goldin; Elisa Levi Sabattini (Editors / Translators),Lu Jia's New Discourses: A Political Manifesto from the Early Han Dynasty,2020,Asian history
Joshua Samuel,"Untouchable Bodies, Resistance, and Liberation",2020,Comparative religion
Karen Laura Thornber,Global Healing,2020,Literary studies: general
Johan Elverskog; Johan Elverskog,The Jewel Translucent S?tra,2003,Asian history
Christa Gray; Christa Gray; James Corke-Webster; James Corke-Webster (Volume Editors),The Hagiographical Experiment: Developing Discourses of Sainthood,2020,Christianity
Lieve Teugels; Lieve Teugels,Aggadat Bereshit,2001,Christianity
Arlene L. Allan; Eva Anagnostou-Laoutides; Emma Stafford (Volume Editors),Herakles Inside and Outside the Church,2020,Social & cultural history
Pamela Burnard; Laura Colucci-Gray (Volume Editors),Why Science and Art Creativities Matter,2020,Education
Amadeo Bordiga (Author); Pietro Basso (Volume Editor),The Science and Passion of Communism,2020,Marxism & Communism
ITLOS (Volume Editor),"Pleadings, Minutes of Public Sittings and Documents / Mémoires, procès-verbaux des audiences publiques et documents, Volume 26 (2017) (2 vols)",2020,Law of the sea
Keyuan Zou (Volume Editor),The Belt and Road Initiative and the Law of the Sea,2020,International law
Myron H. Nordquist; Ronán Long (Editors),Marine Biodiversity of Areas beyond National Jurisdiction,2021,International law
Yoram Dinstein (Volume Editor),"Israel Yearbook on Human Rights, Volume 10 (1980)",1989,International human rights law
Yoram Dinstein (Volume Editor),"Israel Yearbook on Human Rights, Volume 14 (1984)",1989,International human rights law
Dianne Conrad; Paul Prinsloo (Editors),Open(ing) Education,2020,Philosophy & theory of education
Yoram Dinstein; Mala Tabory (Editors),"Israel Yearbook on Human Rights, Volume 17 (1987)",1988,International human rights law
Yoram Dinstein; Mala Tabory (Editors),"Israel Yearbook on Human Rights, Volume 20 (1990)",1991,International human rights law
Yoram Dinstein; Yoram Dinstein; Fania Domb; Fania Domb (Editors),"Israel Yearbook on Human Rights, Volume 30 (2000)",2002,International human rights law
EunHee Lee; EunHee Lee,The Logic of Narratives,2020,Semantics & pragmatics
Tony Saich,Finding Allies and Making Revolution,2020,Marxism & Communism
Jana Rošker,Becoming Human,2020,Ethics & moral philosophy
Douglas Estes (Volume Editor),The Tree of Life,2020,Biblical studies & exegesis
Reinhard Andress (Volume Editor),Vorstufen des Exils / Early Stages of Exile,2020,"Literary studies: fiction, novelists & prose writers"
Mikkaka Overstreet; Lori Norton-Meier (Volume Editors),Clinical Partnerships in Urban Elementary School Settings,2020,Education
Ying-jeou Ma (Volume Editor),"Chinese (Taiwan) Yearbook of International Law and Affairs, Volume 25 (2007)",2007,Public international law
Donald J. Kagay; Donald J. Kagay; L.J. Andrew Villalon; L.J. Andrew Villalon,Conflict in Fourteenth-Century Iberia,2021,History
Antônio Augusto Cançado Trindade,International Law for Humankind,2020,International law
Athina Giannakoula; Dafni Lima; Maria Kaiafa-Gbandi,"Combating Crime in the Digital Age: A Critical Review of EU Information Systems in the Area of Freedom, Security and Justice in the Post-Interoperability Era",2020,International criminal law
Roald Dijkstra (Volume Editor),The Early Reception and Appropriation of the Apostle Peter (60-800 CE),2020,"Literary studies: classical, early & medieval"
Ashley Bacchi,Uncovering Jewish Creativity in Book III of the Sibylline Oracles,2020,Judaism
Dagmar Paulus; Ellen Pilsworth (Volume Editors),Nationalism before the Nation State,2020,Modern history to 20th century: c 1700 to c 1900
Gulnaz Sibgatullina,Languages of Islam and Christianity in Post-Soviet Russia,2020,Sociolinguistics
Jacob Boas,"Cultural Criticism in the Netherlands, 1933-1940",2021,Literary theory
Stefanie Knauss,Religion and Film,2020,Religion: general
Sara Gehlin,Pathways for Theology in Peacebuilding,2020,Christian theology
Maarten De Pourcq; Nathalie De Haan; David Rijser (Volume Editors),Framing Classical Reception Studies,2020,Classical history / classical civilisation
Ruth Frehner; Ursula Zeller (Volume Editors),“Your friend if ever you had one”– The Letters of Sylvia Beach to James Joyce,2021,"Diaries, letters & journals"
Nicholas Saul,Interrogations of Evolutionism in German Literature 1859-2011,2021,"Literary studies: fiction, novelists & prose writers"
Paap,The Xenophon Papyri,1970,Classical history / classical civilisation
Hoogendijk; van Minnen (Editors),"Papyri, Ostraca and Waxed Tablets in the Leiden Papyrological Institute",1991,"Literary studies: classical, early & medieval"
Vleeming,Ostraka Varia,1994,"Literary studies: classical, early & medieval"
Verhoogt; Vleeming (Editors),The Two Faces of Graeco-Roman Egypt,1998,"Literary studies: classical, early & medieval"
Eva Tyrell,Strategies of Persuasion in Herodotus’ Histories and Genesis–Kings,2020,"Literary studies: classical, early & medieval"
Gerrit Bos,"Maimonides, Medical Aphorisms, Hebrew Translation by R. Zera?yah ben Isaac ben She?altiel ?en",2020,Medicine: general issues
Niko Huttunen; Niko Huttunen,Early Christians Adapting to the Roman Empire,2020,Biblical studies & exegesis
Jaap Mansfeld; Jaap Mansfeld; David Runia; David Runia (Editors),Aëtiana V (4 vols.),2020,"Western philosophy: Ancient, to c 500"
Ibrahim Akel; William Granara (Editors),"The Thousand and One Nights: Sources and Transformations in Literature, Art, and Science",2020,Middle Eastern history
"John Tracy Thames, Jr.",The Politics of Ritual Change,2020,Ancient religions & mythologies
Jane L. Stevens Crawshaw; Jane L. Stevens Crawshaw; Irena Benyovsky Latin; Irena Benyovsky Latin; Kathleen Vongsathorn; Kathleen Vongsathorn (Volume Editors),Tracing Hospital Boundaries,2020,History of medicine
Klaas Vieweg,Hegel's Philosophy of Freedom,2020,"Western philosophy, from c 1900 -"
Chris S. Stevens,"History of the Pauline Corpus in Texts, Transmissions and Trajectories",2020,Biblical studies & exegesis
Grzegorz Moroz,A Generic History of Travel Writing in Anglophone and Polish Literature,2020,Prose: non-fiction
Lawrence Buttigieg; Sophia Kanaouti; Lily Martinez Evangelista; Robert Scott Stewart (Volume Editors),Expanding and Restricting the Erotic,2020,Ethics & moral philosophy
Thierry Meynard S.J.; Dawei Pan,A Brief Introduction to the Study of Human Nature,2020,Christian mission & evangelism
Paap,De Herodoti reliquiis in papyris et membranis Aegyptiis servatis,1948,"Literary studies: classical, early & medieval"
Ayelet Gilboa; Ayelet Gilboa; Assaf Yasur-Landau; Assaf Yasur-Landau (Editors),Nomads of the Mediterranean: Trade and Contact in the Bronze and Iron Ages,2020,Ancient history: to c 500 CE
Kính T. V?; André de Quadros (Volume Editors),My Body Was Left on the Street,2020,Education
Gábor Kármán (Volume Editor),Tributaries and Peripheries of the Ottoman Empire,2020,Middle Eastern history
Carey McIntosh; Carey McIntosh,Semantics and Cultural Change in the British Enlightenment: New Words and Old,2020,British & Irish history
Jan Casalicchio; Patrizia Cordin,Grammar of Central Trentino,2020,Usage & grammar guides
Lynn Catterson (Volume Editor),"Florence, Berlin and Beyond: Late Nineteenth-Century Art Markets and their Social Networks",2020,History of art / art & design styles
Yan Wei; Yan Wei,Detecting Chinese Modernities,2020,"Literary studies: fiction, novelists & prose writers"
Kai Sheng (Author); Jinhua Chen (Volume Editor),A History of Chinese Buddhist Faith and Life,2020,Buddhist life & practice
Amy Golahny; Amy Golahny,Rembrandt — Studies in his Varied Approaches to Italian Art ,2020,History of art & design styles: c 1600 to c 1800
Knut A. Jacobsen; Ferdinando Sardella (Volume Editors),Handbook of Hinduism in Europe (2 vols),2020,Hinduism
Olivier Galland; Anne Muxel (Volume Editors),Radical Thought among the Young: A Survey of French Lycée Students,2020,Age groups: adolescents
Israel J. Katz,Robert Lachmann’s Letters to Henry George Farmer (from 1923 to 1938),2020,Middle Eastern history
Mikhail Sergeev; Alexander N. Chumakov; Mary Theis (Editors),Russian Philosophy in the Twenty-First Century,2021,"Western philosophy, from c 1900 -"
Henryk Drawnel; Henryk Drawnel (Volume Editors),Sacred Texts and Disparate Interpretations: Qumran Manuscripts Seventy Years Later,2020,Religion & beliefs
C.A. Davids; Fokko Jan Dijksterhuis; Ida H. Stamhuis; Rienk H. Vermij (Volume Editors),"Rethinking Stevin, Stevin Rethinking",2021,History of science
Ineta Ziemele (Volume Editor),International Law from a Baltic Perspective,2021,International law
Myriam Salama-Carr; Myriam Salama-Carr (Volume Editors),On Translating French Literature and Film II,2000,Cultural studies
Muraoka,Emphatic Words and Structures in Biblical Hebrew,1985,Biblical studies & exegesis
Margaret Sönser Breen; Margaret Sönser Breen (Volume Editors),"Truth, Reconciliation, and Evil",2004,Interdisciplinary studies
B S Chimini; Miyoshi Masahiro; Javaid Rehman (Editors),"Asian Yearbook of International Law, Volume 15 (2009)",2011,International law
Sung-Ju Kim; Jin-Kyung Jung,Korean Nonprofit/Non-Government Sector Research,2020,Social groups: clubs & societies
Andrew H. Weaver; Andrew H. Weaver (Volume Editors),A Companion to Music at the Habsburg Courts in the Sixteenth and Seventeenth Centuries,2020,Early modern history: c 1450/1500 to c 1700
Radu Carp; Cristina Matiu?a (Volume Editors),2019 European Elections,2021,Elections & referenda
I. Tzvi Abusch,Essays on Babylonian and Biblical Literature and Religion,2020,Ancient religions & mythologies
Andreas Markantonatos (Volume Editor),Brill's Companion to Euripides (2 vols),2020,Classical history / classical civilisation
Catherine Bartlett; Joachim Schlör (Editors),The Stranger in Early Modern and Modern Jewish Tradition,2021,Judaism
Muhammad Afzal Upal; Carole M. Cusack (Volume Editors),Handbook of Islamic Sects and Movements,2021,Religion & beliefs
Marianne Holdgaard; Auður Magnúsdóttir; Bodil Selmer (Volume Editors),Nordic Inheritance Law through the Ages,2020,Legal history
Andrea Gattini; Rosana Garciandia; Philippa Webb (Editors),Human Dignity and International Law,2021,International law
Clifford Winters,Argument is War: Relevance-Theoretic Comprehension of the Conceptual Metaphor of War in the Apocalypse,2020,Biblical exegesis & hermeneutics
Anne Suryani; Isabella Tirtowalujo; Hasriadi Masalam (Volume Editors),Preparing Indonesian Youth,2020,Education
Nancy E. Fenton; Whitney Ross (Volume Editors),Critical Reflection on Research in Teaching and Learning,2020,Education
Erin D. Darby; Erin D. Darby; Izaak J. de Hulster; Izaak J. de Hulster (Editors),Iron Age Terracotta Figurines from the Southern Levant in Context,2022,Ancient history: to c 500 CE
Pei-Ling Hsu,Youths’ Cogenerative Dialogues with Scientists,2020,Education
Linda Rae Markert,You Can't Make This Up!,2020,Education
Tizian Zumthurm; Tizian Zumthurm,Practicing Biomedicine at the Albert Schweitzer Hospital 1913-1965,2020,History of medicine
Patrick J. Boner (Volume Editor),Kepler’s New Star (1604),2021,History of science
Karl A.E. Enenkel; Jan L. de Jong,Re-inventing Ovid’s Metamorphoses,2021,"Literary studies: classical, early & medieval"
Jessica Dvorak Moyer,Woman Rules Within,2021,"Gender studies, gender groups"
Crina Baltag; Ylli Dautaj,"Investors, States, and Arbitrators in the Crosshairs of International Investment Law and Environmental Protection",2020,International arbitration
Jacek J?drysiak; Jacek J?drysiak,Prussian Strategic Thought 1815–1830: Beyond Clausewitz,2020,History
Juhana Toivanen,The Political Animal in Medieval Philosophy,2021,History
Charles W. Hedrick,"Nag Hammadi Codices XI, XII, XIII",1990,Gnosticism
Matthew Martin; Matthew Martin,"Tantra, Ritual Performance, and Politics in Nepal and Kerala",2020,"Worship, rites & ceremonies"
Sin Wen Lau,Overseas Chinese Christians in Contemporary China,2020,Society & culture: general
Nathan Badenoch; Nishaant Choksi (Volume Editors),Expressives in the South Asian Linguistic Area,2021,"Grammar, syntax"
Siu Lang Carrillo Yap,Land and Forest Rights of Amazonian Indigenous Peoples from a National and International Perspective,2022,International human rights law
David Scholer,Nag Hammadi Bibliography 1970-1994,1997,Gnosticism
Paul Mirecki; Paul Mirecki; Jason BeDuhn; Jason BeDuhn (Editors),The Light and the Darkness,2001,Gnosticism
Ludovica Chiussi Curzi,General Principles for Business and Human Rights in International Law,2021,Public international law
David Smith; David Smith,The Epistles for All Christians,2020,New Testaments
Arlette David,Renewing Royal Imagery,2021,Ancient history: to c 500 CE
César Rojas-Orozco,International Law and Transition to Peace in Colombia,2021,International law
Jan Martijn Abrahamse; Jan Martijn Abrahamse,Ordained Ministry in Free Church Perspective,2021,"Calvinist, Reformed & Presbyterian Churches"
Alexei Bodrov; Stephen M. Garrett (Volume Editors),Theology and the Political,2021,Christian mission & evangelism
Peter Šajda (Volume Editor),Modern and Postmodern Crises of Symbolic Structures,2021,Social & political philosophy
Roberto Gustavo Mancilla Castro,Sociocybernetics and Political Theory in a Complex World: Recasting Constitutionalism,2020,Social & political philosophy
Elizabeth Sabiston,Transcultural Migration in the Novels of Hédi Bouraoui,2021,Literature: history & criticism
Catalina Balmaceda; Catalina Balmaceda (Editors),Libertas and Res Publica in the Roman Republic,2021,Classical history / classical civilisation
Albert Geljon; Albert Geljon; Nienke Vos; Nienke Vos (Volume Editors),Rituals in Early Christianity,2021,Christianity
Hans Daiber,From the Greeks to the Arabs and Beyond,2021,Middle Eastern history
Eldon Jay Epp; Eldon Jay Epp,"Perspectives on New Testament Textual Criticism, Volume 2",2021,Biblical studies & exegesis
Seyfi Kenan; Selçuk Aksin Somel (Volume Editors),Dimensions of Transformation in the Ottoman Empire from the Late Medieval Age to Modernity,2021,Middle Eastern history
Hans Daiber,From the Greeks to the Arabs and Beyond,2021,Middle Eastern history
Michiel Meeusen (Volume Editor),Ancient Greek Medicine in Questions and Answers,2021,Classical history / classical civilisation
Tobias Ackermann; Sebastian Wuschka (Editors),Investments in Conflict Zones,2020,International law
Jesús Astigarraga,A Unifying Enlightenment,2021,Institutions & learned societies: general
Chiara Thumiger (Volume Editor),Holism in Ancient Medicine and Its Reception,2021,Classical history / classical civilisation
Francesco Quatrini; Francesco Quatrini,Adam Boreel (1602–1665): A Collegiant’s Attempt to Reform Christianity,2021,Church history
Georges Goedert; Martina Scherbel (Volume Editors),Perspektiven der Philosophie,2021,Philosophy
Tomas Kavaliauskas (Volume Editor),Europe Thirty Years After 1989,2021,Social & political philosophy
Lionel Laborie; Lionel Laborie; Ariel Hessayon; Ariel Hessayon,"Early Modern Prophecies in Transnational, National and Regional Contexts (3 vols.)",2021,Early modern history: c 1450/1500 to c 1700
Leszek Koczanowicz; Piotr Jakub Fere?ski; Joanna Panciuchin (Editors),Interpreting Globalization,2021,Social & political philosophy
Albert Sui Hung Lee; Albert Sui Hung Lee,Dialogue on Monarchy in the Gideon-Abimelech Narrative,2021,Old Testaments
